experiment,method,samples,selection,seeds,pcc_mean,pcc_sd,scc_mean,scc_sd,rmse_mean,rmse_sd
leakage_control,Contact500,484,best_pcc,3,0.5816,0.0547,0.5749,0.0590,0.9152,0.0788
leakage_control,DeoverlapContact500,440,best_pcc,3,0.4161,0.0433,0.3906,0.0604,2.4148,2.1947
leakage_control,Contact500,484,best_rmse,3,0.5738,0.0495,0.5902,0.0204,0.8665,0.0400
leakage_control,DeoverlapContact500,440,best_rmse,3,0.3899,0.0282,0.3389,0.0119,0.9639,0.0132
capacity_control,RandomSCA,,best_pcc,3,0.5158,0.0986,0.5014,0.0991,0.9855,0.1390
capacity_control,RandomSCA,,best_scc,3,0.5116,0.0980,0.5166,0.0860,0.9611,0.0976
capacity_control,RandomSCA,,best_rmse,3,0.5134,0.0967,0.5085,0.0818,0.9294,0.0759
capacity_control,StructRSMA-SCA,,best_pcc,3,0.5870,0.0590,0.5844,0.0663,0.8696,0.0451
capacity_control,StructRSMA-SCA,,best_scc,3,0.5786,0.0712,0.6038,0.0428,0.8671,0.0450
capacity_control,StructRSMA-SCA,,best_rmse,3,0.5792,0.0602,0.5873,0.0325,0.8518,0.0419
